epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89003,1.18292,2.67205,1.33164,0.00667,1,0.56906,0.21354,1.00004,2.79941,1.22088,2e-05,2e-05,2e-05
2,9.20124,1.16233,2.69497,1.31013,0.00619,0.92857,0.72198,0.38207,0.85419,2.77638,1.20283,5.8812e-05,5.8812e-05,5.8812e-05
3,13.4661,1.02076,2.65448,1.23226,0.00619,0.92857,0.688,0.32949,0.81877,2.75912,1.18379,9.604e-05,9.604e-05,9.604e-05
4,17.6742,0.83077,2.43593,1.15676,0.00667,1,0.74065,0.38478,0.71173,2.72596,1.09653,0.000131684,0.000131684,0.000131684
5,21.8797,0.71675,2.37039,1.08789,0.00619,0.92857,0.80126,0.60759,0.56457,2.67094,1.01108,0.000165744,0.000165744,0.000165744
6,26.1174,0.75681,2.17168,1.02542,0.00667,1,0.79849,0.58844,0.69311,2.60985,0.97682,0.00019822,0.00019822,0.00019822
7,30.5368,0.70751,2.03457,1.02649,0.00667,1,0.79988,0.35773,1.00601,2.64344,1.16669,0.000229112,0.000229112,0.000229112
8,34.801,0.67217,1.82272,0.97179,0.00667,1,0.85602,0.50122,0.79975,2.59915,1.13627,0.00025842,0.00025842,0.00025842
9,39.3206,0.63442,1.74829,1.06104,0.00667,1,0.92831,0.66666,0.58542,2.55229,0.95851,0.000286144,0.000286144,0.000286144
10,43.614,0.74299,1.66836,1.05359,0.00667,1,0.964,0.70011,0.55597,2.52639,0.92828,0.000312284,0.000312284,0.000312284
11,48.0092,0.72229,1.55381,1.02446,0.00667,1,0.964,0.75284,0.49907,2.48135,0.90806,0.00033684,0.00033684,0.00033684
12,52.3009,0.69886,1.47296,0.99549,0.00667,1,0.97167,0.75584,0.554,2.41499,0.93077,0.000359812,0.000359812,0.000359812
13,56.6661,0.74801,1.38385,1.05948,0.00667,1,0.9492,0.67959,0.70099,2.35918,0.97774,0.0003812,0.0003812,0.0003812
14,60.8745,0.64077,1.28739,0.94854,0.535,1,0.92189,0.64595,0.71857,2.30385,0.98572,0.000401004,0.000401004,0.000401004
15,65.31,0.66758,1.25746,0.97195,0.71941,0.92857,0.8855,0.61739,0.69543,2.30033,0.9987,0.000419224,0.000419224,0.000419224
16,69.6697,0.68288,1.21721,0.96164,0.53319,0.92857,0.88397,0.58828,0.73057,2.32355,1.0233,0.00043586,0.00043586,0.00043586
17,74.0552,0.81261,1.21245,1.09602,0.63883,0.92857,0.93642,0.69384,0.71061,2.27692,1.01787,0.000450912,0.000450912,0.000450912
18,78.5563,0.70024,1.08549,0.97302,1,0.64355,0.974,0.75648,0.66525,2.13353,0.95928,0.00046438,0.00046438,0.00046438
19,83.1593,0.66184,1.08283,0.95384,1,0.62484,0.974,0.77116,0.66496,2.09219,0.96162,0.000476264,0.000476264,0.000476264
20,87.5183,0.55059,1.11677,0.96298,1,0.7102,0.92135,0.74637,0.68186,2.07187,0.96966,0.000486564,0.000486564,0.000486564
21,91.8236,0.62173,0.97205,0.98604,0.95897,0.71429,0.86447,0.69013,0.89076,2.15748,1.11047,0.00049528,0.00049528,0.00049528
22,96.2112,0.6979,1.01144,1.05416,0.85272,0.57143,0.78367,0.58407,0.99956,2.22645,1.20548,0.000502412,0.000502412,0.000502412
23,100.708,0.60829,0.93606,0.96623,0.91154,0.42857,0.80404,0.52837,1.19369,2.31569,1.34834,0.00050796,0.00050796,0.00050796
24,105.211,0.66067,0.97525,0.96495,1,0.45487,0.9098,0.57826,1.04696,2.3181,1.22651,0.000511924,0.000511924,0.000511924
25,109.62,0.57558,0.86481,0.96529,1,0.76189,0.94536,0.68227,0.90451,2.1173,1.11158,0.000514304,0.000514304,0.000514304
26,114.085,0.65151,0.93217,1.00576,0.96114,0.85714,0.92128,0.73614,0.76257,1.92281,1.03502,0.0005151,0.0005151,0.0005151
27,118.373,0.7362,0.99279,1.01157,1,0.91419,0.98625,0.71826,0.81836,1.77788,1.10938,0.000514312,0.000514312,0.000514312
28,122.7,0.65039,0.8696,0.93884,1,0.91419,0.98625,0.71826,0.81836,1.77788,1.10938,0.00051194,0.00051194,0.00051194
29,127.148,0.60249,0.82844,0.91069,0.93097,0.96456,0.981,0.72651,0.75035,1.79008,1.03275,0.000507984,0.000507984,0.000507984
30,131.481,0.60161,0.83491,0.91602,0.90783,0.92857,0.95193,0.74244,0.69981,1.72289,0.99688,0.000502444,0.000502444,0.000502444
31,135.812,0.58825,0.85043,0.9764,0.90783,0.92857,0.95193,0.74244,0.69981,1.72289,0.99688,0.00049532,0.00049532,0.00049532
32,140.076,0.50267,0.78105,0.92832,0.97399,0.92857,0.98625,0.78953,0.68071,1.62279,0.97441,0.000486612,0.000486612,0.000486612
33,144.196,0.63268,0.83822,0.97246,0.98642,0.92857,0.99033,0.81817,0.64816,1.4854,0.94575,0.00047632,0.00047632,0.00047632
34,148.457,0.57181,0.81947,0.9114,0.98642,0.92857,0.99033,0.81817,0.64816,1.4854,0.94575,0.000464444,0.000464444,0.000464444
35,152.646,0.55277,0.82374,0.92988,0.99156,0.92857,0.99033,0.8215,0.67842,1.40179,0.95472,0.000450984,0.000450984,0.000450984
36,156.871,0.55269,0.75073,0.94363,0.99558,0.92857,0.98625,0.8237,0.65939,1.37002,0.94608,0.00043594,0.00043594,0.00043594
37,161.037,0.55848,0.77703,0.93604,0.99558,0.92857,0.98625,0.8237,0.65939,1.37002,0.94608,0.000419312,0.000419312,0.000419312
38,165.249,0.5649,0.76583,0.94978,0.99004,0.92857,0.98265,0.82224,0.66518,1.35493,0.94195,0.0004011,0.0004011,0.0004011
39,169.553,0.56106,0.75203,0.93015,0.97844,0.92857,0.98625,0.82311,0.61037,1.38007,0.93338,0.000381304,0.000381304,0.000381304
40,173.931,0.52851,0.74265,0.91288,0.97844,0.92857,0.98625,0.82311,0.61037,1.38007,0.93338,0.000359924,0.000359924,0.000359924
41,178.298,0.45332,1.02033,0.88126,0.97661,0.92857,0.99033,0.84557,0.58231,1.46782,0.94987,0.00033696,0.00033696,0.00033696
42,182.715,0.39286,0.96533,0.87291,1,0.95972,0.995,0.83798,0.54468,1.56337,0.94046,0.000312412,0.000312412,0.000312412
43,187.037,0.43941,0.86895,0.8585,1,0.95972,0.995,0.83798,0.54468,1.56337,0.94046,0.00028628,0.00028628,0.00028628
44,191.453,0.45822,0.94502,0.83231,1,0.90999,0.98625,0.82067,0.57286,1.62282,0.94712,0.000258564,0.000258564,0.000258564
45,195.81,0.4283,0.91276,0.85027,1,0.90999,0.98625,0.82067,0.57286,1.62282,0.94712,0.000229264,0.000229264,0.000229264
46,200.103,0.43015,0.9472,0.85144,1,0.84844,0.98265,0.82985,0.58139,1.57907,0.94658,0.00019838,0.00019838,0.00019838
47,204.387,0.40398,0.89573,0.83344,1,0.84844,0.98265,0.82985,0.58139,1.57907,0.94658,0.000165912,0.000165912,0.000165912
