epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.16024,nan,nan,nan,0,0,0,0,nan,nan,nan,2e-05,2e-05,2e-05
2,3.60656,nan,nan,nan,0,0,0,0,nan,nan,nan,5.8812e-05,5.8812e-05,5.8812e-05
3,5.17479,nan,nan,nan,0,0,0,0,nan,nan,nan,9.604e-05,9.604e-05,9.604e-05
4,6.57584,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000131684,0.000131684,0.000131684
5,8.04389,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165744,0.000165744,0.000165744
6,9.49577,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019822,0.00019822,0.00019822
7,10.9629,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229112,0.000229112,0.000229112
8,12.4243,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025842,0.00025842,0.00025842
9,13.8605,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000286144,0.000286144,0.000286144
10,15.292,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312284,0.000312284,0.000312284
11,16.6853,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033684,0.00033684,0.00033684
12,18.1408,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359812,0.000359812,0.000359812
13,19.5568,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003812,0.0003812,0.0003812
14,20.9795,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000401004,0.000401004,0.000401004
15,22.4237,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419224,0.000419224,0.000419224
16,23.858,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043586,0.00043586,0.00043586
17,25.2727,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450912,0.000450912,0.000450912
18,26.7237,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00046438,0.00046438,0.00046438
19,28.1422,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000476264,0.000476264,0.000476264
20,29.5961,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486564,0.000486564,0.000486564
21,31.0461,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049528,0.00049528,0.00049528
22,32.4977,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502412,0.000502412,0.000502412
23,33.948,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00050796,0.00050796,0.00050796
24,35.364,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000511924,0.000511924,0.000511924
25,36.8149,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514304,0.000514304,0.000514304
26,38.2495,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005151,0.0005151,0.0005151
27,39.6996,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514312,0.000514312,0.000514312
28,41.1058,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00051194,0.00051194,0.00051194
29,42.5366,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000507984,0.000507984,0.000507984
30,44.0069,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502444,0.000502444,0.000502444
31,45.4251,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049532,0.00049532,0.00049532
32,46.8731,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486612,0.000486612,0.000486612
33,48.3417,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00047632,0.00047632,0.00047632
34,49.7255,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000464444,0.000464444,0.000464444
35,51.1421,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450984,0.000450984,0.000450984
36,52.5613,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043594,0.00043594,0.00043594
37,53.9808,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419312,0.000419312,0.000419312
38,55.4622,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004011,0.0004011,0.0004011
39,56.8812,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000381304,0.000381304,0.000381304
40,58.3155,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359924,0.000359924,0.000359924
41,64.9771,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033696,0.00033696,0.00033696
42,66.4257,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312412,0.000312412,0.000312412
43,67.8421,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00028628,0.00028628,0.00028628
44,69.3009,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000258564,0.000258564,0.000258564
45,70.7059,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229264,0.000229264,0.000229264
46,72.1458,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019838,0.00019838,0.00019838
47,73.589,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165912,0.000165912,0.000165912
48,75.0438,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00013186,0.00013186,0.00013186
49,76.4921,nan,nan,nan,0,0,0,0,nan,nan,nan,9.6224e-05,9.6224e-05,9.6224e-05
50,78.0087,nan,nan,nan,0,0,0,0,nan,nan,nan,5.9004e-05,5.9004e-05,5.9004e-05
