epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.84013,nan,nan,nan,0,0,0,0,nan,nan,nan,2e-05,2e-05,2e-05
2,3.3186,nan,nan,nan,0,0,0,0,nan,nan,nan,5.8812e-05,5.8812e-05,5.8812e-05
3,4.82031,nan,nan,nan,0,0,0,0,nan,nan,nan,9.604e-05,9.604e-05,9.604e-05
4,6.34688,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000131684,0.000131684,0.000131684
5,7.8066,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165744,0.000165744,0.000165744
6,9.27381,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019822,0.00019822,0.00019822
7,10.7248,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229112,0.000229112,0.000229112
8,12.1767,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025842,0.00025842,0.00025842
9,13.5615,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000286144,0.000286144,0.000286144
10,14.9954,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312284,0.000312284,0.000312284
11,16.3981,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033684,0.00033684,0.00033684
12,17.7973,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359812,0.000359812,0.000359812
13,19.2411,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003812,0.0003812,0.0003812
14,20.6453,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000401004,0.000401004,0.000401004
15,22.0536,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419224,0.000419224,0.000419224
16,23.5024,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043586,0.00043586,0.00043586
17,24.948,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450912,0.000450912,0.000450912
18,26.3863,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00046438,0.00046438,0.00046438
19,27.855,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000476264,0.000476264,0.000476264
20,29.2874,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486564,0.000486564,0.000486564
21,30.722,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049528,0.00049528,0.00049528
22,32.1624,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502412,0.000502412,0.000502412
23,33.602,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00050796,0.00050796,0.00050796
24,35.0386,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000511924,0.000511924,0.000511924
25,36.4924,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514304,0.000514304,0.000514304
26,37.9242,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005151,0.0005151,0.0005151
27,39.3485,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514312,0.000514312,0.000514312
28,40.7351,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00051194,0.00051194,0.00051194
29,42.2083,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000507984,0.000507984,0.000507984
30,43.6434,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502444,0.000502444,0.000502444
31,45.0258,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049532,0.00049532,0.00049532
32,46.4446,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486612,0.000486612,0.000486612
33,47.8761,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00047632,0.00047632,0.00047632
34,49.2176,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000464444,0.000464444,0.000464444
35,50.6277,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450984,0.000450984,0.000450984
36,52.0591,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043594,0.00043594,0.00043594
37,53.4673,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419312,0.000419312,0.000419312
38,54.9241,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004011,0.0004011,0.0004011
39,56.3585,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000381304,0.000381304,0.000381304
40,57.7604,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359924,0.000359924,0.000359924
41,65.5854,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033696,0.00033696,0.00033696
42,67.0352,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312412,0.000312412,0.000312412
43,68.4699,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00028628,0.00028628,0.00028628
44,69.9381,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000258564,0.000258564,0.000258564
45,71.3717,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229264,0.000229264,0.000229264
46,72.8396,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019838,0.00019838,0.00019838
47,74.2654,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165912,0.000165912,0.000165912
48,75.7026,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00013186,0.00013186,0.00013186
49,77.096,nan,nan,nan,0,0,0,0,nan,nan,nan,9.6224e-05,9.6224e-05,9.6224e-05
50,78.5804,nan,nan,nan,0,0,0,0,nan,nan,nan,5.9004e-05,5.9004e-05,5.9004e-05
